## ================================================================================================================
## Date de Création du fichier     : 2022-11-28
## Auteur                          : Observatoire météorologique du petit-Séminaire Collège St Martial
## Créateur du fichier	           : Ralph Bathelemy (bathelemy@geoazur.unice.fr)
## Entité                          : URGEO - GEOAZUR - INRAE
## ================================================================================================================
## Nom station                     : ST-MICHEL
## ----------------------------------------------------------------------------------------------------------------
## Longitude                       : -72.333         ; (Moron et al., 2015 [°W])
## Latitude                        : 19.367          ; (Moron et al., 2015 [°N])
## Données manquantes              :   3             ; [%]
## Pluies disponibles              : 1920-01-01      ; 1940-12-31
## ================================================================================================================
## Champs----------------------------------------------------------------------------------------------------------
## Date                            : date [AAAA-MM-JJ]
## P                               : Pluie [mm/j]
## ================================================================================================================
## Moron, V., Frelat, R., Jean-Jeune, P.K., Gaucherel, C., 2015. Interannual and intra-annual variability of
## rainfall in Haiti (1905–2005). Clim. Dyn. 45, 915–932. https://doi.org/10.1007/s00382-014-2326-y
## ================================================================================================================

Date;	P
1920-12-22;	0
1920-12-23;	0
1920-12-24;	0
1920-12-25;	0
1920-12-26;	0
1920-12-27;	0
1920-12-28;	0
1920-12-29;	0
1920-12-30;	0
1920-12-31;	0
1921-01-01;	0
1921-01-02;	0
1921-01-03;	0
1921-01-04;	0
1921-01-05;	0
1921-01-06;	0
1921-01-07;	0
1921-01-08;	0
1921-01-09;	0
1921-01-10;	0
1921-01-11;	0
1921-01-12;	0
1921-01-13;	0
1921-01-14;	0
1921-01-15;	0
1921-01-16;	0
1921-01-17;	0
1921-01-18;	0
1921-01-19;	0
1921-01-20;	0
1921-01-21;	0
1921-01-22;	0
1921-01-23;	0
1921-01-24;	0
1921-01-25;	0
1921-01-26;	0
1921-01-27;	0
1921-01-28;	0
1921-01-29;	0
1921-01-30;	0
1921-01-31;	0
1921-02-01;	0
1921-02-02;	0
1921-02-03;	0
1921-02-04;	0
1921-02-05;	0
1921-02-06;	0
1921-02-07;	0
1921-02-08;	0
1921-02-09;	0
1921-02-10;	0
1921-02-11;	0
1921-02-12;	0
1921-02-13;	0
1921-02-14;	0
1921-02-15;	0
1921-02-16;	0
1921-02-17;	2.4
1921-02-18;	0
1921-02-19;	0
1921-02-20;	20
1921-02-21;	0
1921-02-22;	0
1921-02-23;	0
1921-02-24;	5
1921-02-25;	0
1921-02-26;	11.4
1921-02-27;	4
1921-02-28;	0
1921-03-01;	0
1921-03-02;	0
1921-03-03;	0
1921-03-04;	3.2
1921-03-05;	11.4
1921-03-06;	45.4
1921-03-07;	0
1921-03-08;	0
1921-03-09;	5
1921-03-10;	0
1921-03-11;	2.5
1921-03-12;	0
1921-03-13;	0
1921-03-14;	90.4
1921-03-15;	1
1921-03-16;	0
1921-03-17;	0
1921-03-18;	0
1921-03-19;	0
1921-03-20;	0
1921-03-21;	2
1921-03-22;	0
1921-03-23;	0
1921-03-24;	0
1921-03-25;	0
1921-03-26;	0
1921-03-27;	0
1921-03-28;	0
1921-03-29;	0
1921-03-30;	0
1921-03-31;	0
1921-04-01;	2
1921-04-02;	0
1921-04-03;	0
1921-04-04;	0
1921-04-05;	0
1921-04-06;	16.2
1921-04-07;	54.2
1921-04-08;	9
1921-04-09;	3.6
1921-04-10;	32.1
1921-04-11;	0
1921-04-12;	0
1921-04-13;	0
1921-04-14;	0
1921-04-15;	0
1921-04-16;	0
1921-04-17;	0
1921-04-18;	0
1921-04-19;	0
1921-04-20;	0
1921-04-21;	0
1921-04-22;	0
1921-04-23;	0
1921-04-24;	0
1921-04-25;	0
1921-04-26;	0
1921-04-27;	0
1921-04-28;	0
1921-04-29;	0
1921-04-30;	0
1921-05-01;	0
1921-05-02;	0
1921-05-03;	0
1921-05-04;	0
1921-05-05;	110.4
1921-05-06;	29
1921-05-07;	0
1921-05-08;	0
1921-05-09;	0
1921-05-10;	0
1921-05-11;	0
1921-05-12;	0
1921-05-13;	0
1921-05-14;	0
1921-05-15;	0
1921-05-16;	0
1921-05-17;	0
1921-05-18;	0
1921-05-19;	41
1921-05-20;	15
1921-05-21;	0
1921-05-22;	1
1921-05-23;	5
1921-05-24;	0
1921-05-25;	0
1921-05-26;	75.4
1921-05-27;	28
1921-05-28;	18.1
1921-05-29;	5.1
1921-05-30;	0
1921-05-31;	1
1921-06-01;	16
1921-06-02;	21
1921-06-03;	0
1921-06-04;	0
1921-06-05;	0
1921-06-06;	1.4
1921-06-07;	0
1921-06-08;	1
1921-06-09;	2
1921-06-10;	29
1921-06-11;	7
1921-06-12;	60.4
1921-06-13;	0
1921-06-14;	14.2
1921-06-15;	3.2
1921-06-16;	0
1921-06-17;	0
1921-06-18;	0
1921-06-19;	0
1921-06-20;	30.2
1921-06-21;	0
1921-06-22;	0
1921-06-23;	0
1921-06-24;	0
1921-06-25;	0
1921-06-26;	22
1921-06-27;	1.3
1921-06-28;	3.4
1921-06-29;	0
1921-06-30;	0
1921-07-01;	0
1921-07-02;	0
1921-07-03;	0
1921-07-04;	0
1921-07-05;	0
1921-07-06;	0
1921-07-07;	0
1921-07-08;	0
1921-07-09;	0
1921-07-10;	0
1921-07-11;	0
1921-07-12;	0
1921-07-13;	0
1921-07-14;	0
1921-07-15;	0
1921-07-16;	0
1921-07-17;	0
1921-07-18;	0
1921-07-19;	0
1921-07-20;	0
1921-07-21;	0
1921-07-22;	0
1921-07-23;	0
1921-07-24;	0
1921-07-25;	0
1921-07-26;	0
1921-07-27;	0
1921-07-28;	0
1921-07-29;	0
1921-07-30;	0
1921-07-31;	0
1921-08-01;	0
1921-08-02;	0
1921-08-03;	0
1921-08-04;	0
1921-08-05;	0
1921-08-06;	0
1921-08-07;	0
1921-08-08;	0
1921-08-09;	0
1921-08-10;	0
1921-08-11;	0
1921-08-12;	0
1921-08-13;	0
1921-08-14;	0
1921-08-15;	0
1921-08-16;	0
1921-08-17;	0
1921-08-18;	0
1921-08-19;	0
1921-08-20;	0
1921-08-21;	0
1921-08-22;	0
1921-08-23;	0
1921-08-24;	0
1921-08-25;	0
1921-08-26;	0
1921-08-27;	0
1921-08-28;	0
1921-08-29;	0
1921-08-30;	0
1921-08-31;	0
1921-09-01;	0
1921-09-02;	9.2
1921-09-03;	0
1921-09-04;	0
1921-09-05;	0
1921-09-06;	0
1921-09-07;	0
1921-09-08;	0
1921-09-09;	0
1921-09-10;	0
1921-09-11;	5
1921-09-12;	0
1921-09-13;	0
1921-09-14;	11
1921-09-15;	40
1921-09-16;	58
1921-09-17;	44
1921-09-18;	0
1921-09-19;	38.5
1921-09-20;	0
1921-09-21;	9.5
1921-09-22;	0
1921-09-23;	3.5
1921-09-24;	6.6
1921-09-25;	0
1921-09-26;	0
1921-09-27;	10.7
1921-09-28;	0
1921-09-29;	0
1921-09-30;	0
1921-10-01;	5.75
1921-10-02;	8.1
1921-10-03;	0
1921-10-04;	0
1921-10-05;	1.1
1921-10-06;	42.95
1921-10-07;	0
1921-10-08;	15.45
1921-10-09;	19.7
1921-10-10;	114.35
1921-10-11;	0
1921-10-12;	15.85
1921-10-13;	0
1921-10-14;	0
1921-10-15;	0
1921-10-16;	3.3
1921-10-17;	2
1921-10-18;	2
1921-10-19;	1.5
1921-10-20;	6.5
1921-10-21;	0
1921-10-22;	0
1921-10-23;	0
1921-10-24;	0
1921-10-25;	0
1921-10-26;	0
1921-10-27;	0
1921-10-28;	0
1921-10-29;	0
1921-10-30;	0
1921-10-31;	0
1921-11-01;	0
1921-11-02;	1.2
1921-11-03;	0
1921-11-04;	0
1921-11-05;	0
1921-11-06;	0
1921-11-07;	0
1921-11-08;	0
1921-11-09;	0
1921-11-10;	0
1921-11-11;	0
1921-11-12;	0
1921-11-13;	0
1921-11-14;	0
1921-11-15;	0
1921-11-16;	0
1921-11-17;	0
1921-11-18;	0
1921-11-19;	0.5
1921-11-20;	0
1921-11-21;	0
1921-11-22;	0
1921-11-23;	0
1921-11-24;	10.8
1921-11-25;	3.8
1921-11-26;	0
1921-11-27;	3.2
1921-11-28;	14.2
1921-11-29;	0
1921-11-30;	0
1921-12-01;	0
1921-12-02;	0
1921-12-03;	0
1921-12-04;	0
1921-12-05;	0
1921-12-06;	0
1921-12-07;	0
1921-12-08;	0
1921-12-09;	0
1921-12-10;	0
1921-12-11;	0
1921-12-12;	0
1921-12-13;	0
1921-12-14;	0
1921-12-15;	0
1921-12-16;	0
1921-12-17;	0
1921-12-18;	0
1921-12-19;	0
1921-12-20;	0
1921-12-21;	0
1921-12-22;	0
1921-12-23;	0
1921-12-24;	0
1921-12-25;	0
1921-12-26;	0
1921-12-27;	0
1921-12-28;	0
1921-12-29;	0
1921-12-30;	0
1921-12-31;	0
1922-01-01;	0
1922-01-02;	0
1922-01-03;	0
1922-01-04;	0
1922-01-05;	0
1922-01-06;	0
1922-01-07;	0
1922-01-08;	0
1922-01-09;	0
1922-01-10;	0
1922-01-11;	0
1922-01-12;	0
1922-01-13;	0
1922-01-14;	0
1922-01-15;	0
1922-01-16;	0.5
1922-01-17;	1.5
1922-01-18;	0
1922-01-19;	0
1922-01-20;	0
1922-01-21;	0
1922-01-22;	0
1922-01-23;	0
1922-01-24;	0
1922-01-25;	0
1922-01-26;	0
1922-01-27;	0
1922-01-28;	0
1922-01-29;	0
1922-01-30;	0
1922-01-31;	0
1922-02-01;	0
1922-02-02;	0
1922-02-03;	0
1922-02-04;	0
1922-02-05;	0
1922-02-06;	0
1922-02-07;	0
1922-02-08;	0
1922-02-09;	0
1922-02-10;	0
1922-02-11;	0
1922-02-12;	0
1922-02-13;	0
1922-02-14;	0
1922-02-15;	0
1922-02-16;	0
1922-02-17;	3.4
1922-02-18;	4.6
1922-02-19;	8.35
1922-02-20;	0
1922-02-21;	0
1922-02-22;	0
1922-02-23;	0
1922-02-24;	4
1922-02-25;	4.7
1922-02-26;	0
1922-02-27;	0
1922-02-28;	0
1922-03-01;	0
1922-03-02;	0
1922-03-03;	0
1922-03-04;	9
1922-03-05;	0
1922-03-06;	0
1922-03-07;	0
1922-03-08;	0
1922-03-09;	0
1922-03-10;	0
1922-03-11;	0
1922-03-12;	0
1922-03-13;	0
1922-03-14;	0
1922-03-15;	0
1922-03-16;	0
1922-03-17;	0
1922-03-18;	0
1922-03-19;	0
1922-03-20;	0
1922-03-21;	0
1922-03-22;	0
1922-03-23;	0
1922-03-24;	0
1922-03-25;	0
1922-03-26;	0
1922-03-27;	0
1922-03-28;	0
1922-03-29;	0
1922-03-30;	0
1922-03-31;	0
1922-04-01;	0
1922-04-02;	0
1922-04-03;	0
1922-04-04;	0
1922-04-05;	0
1922-04-06;	0
1922-04-07;	0
1922-04-08;	0
1922-04-09;	0
1922-04-10;	0
1922-04-11;	0
1922-04-12;	9.1
1922-04-13;	6.45
1922-04-14;	0
1922-04-15;	0
1922-04-16;	0
1922-04-17;	0
1922-04-18;	0
1922-04-19;	0
1922-04-20;	0
1922-04-21;	0
1922-04-22;	0
1922-04-23;	0
1922-04-24;	0
1922-04-25;	0
1922-04-26;	0
1922-04-27;	0
1922-04-28;	0
1922-04-29;	0
1922-04-30;	0
1922-05-01;	0
1922-05-02;	0
1922-05-03;	0
1922-05-04;	20.8
1922-05-05;	24.9
1922-05-06;	18.1
1922-05-07;	14.2
1922-05-08;	38.7
1922-05-09;	19.3
1922-05-10;	1.7
1922-05-11;	11
1922-05-12;	26
1922-05-13;	0
1922-05-14;	0
1922-05-15;	6.4
1922-05-16;	0
1922-05-17;	0
1922-05-18;	0
1922-05-19;	0
1922-05-20;	12.3
1922-05-21;	0
1922-05-22;	8.4
1922-05-23;	0
1922-05-24;	0
1922-05-25;	0
1922-05-26;	0
1922-05-27;	0
1922-05-28;	4
1922-05-29;	0
1922-05-30;	17.3
1922-05-31;	0
1922-06-01;	1
1922-06-02;	0
1922-06-03;	0
1922-06-04;	2.7
1922-06-05;	0
1922-06-06;	0
1922-06-07;	0
1922-06-08;	4.7
1922-06-09;	0
1922-06-10;	0
1922-06-11;	0
1922-06-12;	9
1922-06-13;	2
1922-06-14;	36
1922-06-15;	13.7
1922-06-16;	61.2
1922-06-17;	6
1922-06-18;	0
1922-06-19;	0
1922-06-20;	0
1922-06-21;	9
1922-06-22;	0
1922-06-23;	0
1922-06-24;	7
1922-06-25;	29.7
1922-06-26;	7.8
1922-06-27;	0
1922-06-28;	5
1922-06-29;	0
1922-06-30;	9
1922-07-01;	0
1922-07-02;	0
1922-07-03;	0
1922-07-04;	0
1922-07-05;	0
1922-07-06;	0
1922-07-07;	0
1922-07-08;	0
1922-07-09;	0
1922-07-10;	0
1922-07-11;	0
1922-07-12;	0
1922-07-13;	0
1922-07-14;	0
1922-07-15;	0
1922-07-16;	0
1922-07-17;	0
1922-07-18;	0
1922-07-19;	0
1922-07-20;	0
1922-07-21;	0
1922-07-22;	0
1922-07-23;	0
1922-07-24;	11.45
1922-07-25;	0
1922-07-26;	10.2
1922-07-27;	0
1922-07-28;	1.25
1922-07-29;	0
1922-07-30;	0
1922-07-31;	0
1922-08-01;	0
1922-08-02;	0
1922-08-03;	0
1922-08-04;	0
1922-08-05;	1.5
1922-08-06;	1.5
1922-08-07;	17.9
1922-08-08;	0
1922-08-09;	0
1922-08-10;	0
1922-08-11;	0
1922-08-12;	0
1922-08-13;	0
1922-08-14;	0
1922-08-15;	0
1922-08-16;	0
1922-08-17;	0
1922-08-18;	15.25
1922-08-19;	0
1922-08-20;	0
1922-08-21;	0
1922-08-22;	8.9
1922-08-23;	0
1922-08-24;	0
1922-08-25;	0
1922-08-26;	3.3
1922-08-27;	0
1922-08-28;	1.5
1922-08-29;	1.5
1922-08-30;	2.55
1922-08-31;	0
1922-09-01;	14.5
1922-09-02;	2
1922-09-03;	0
1922-09-04;	34.5
1922-09-05;	0
1922-09-06;	0
1922-09-07;	0
1922-09-08;	0
1922-09-09;	22.5
1922-09-10;	49.2
1922-09-11;	7
1922-09-12;	4.5
1922-09-13;	0
1922-09-14;	2
1922-09-15;	0
1922-09-16;	0
1922-09-17;	0
1922-09-18;	0
1922-09-19;	0
1922-09-20;	0
1922-09-21;	4.6
1922-09-22;	0
1922-09-23;	0
1922-09-24;	0
1922-09-25;	0
1922-09-26;	0
1922-09-27;	0
1922-09-28;	18.5
1922-09-29;	32.7
1922-09-30;	0
1922-10-01;	10.7
1922-10-02;	7.5
1922-10-03;	2.4
1922-10-04;	0
1922-10-05;	0
1922-10-06;	0
1922-10-07;	0
1922-10-08;	2
1922-10-09;	33
1922-10-10;	16
1922-10-11;	0
1922-10-12;	0
1922-10-13;	0
1922-10-14;	0
1922-10-15;	0
1922-10-16;	15.6
1922-10-17;	91
1922-10-18;	0
1922-10-19;	23.5
1922-10-20;	0
1922-10-21;	0
1922-10-22;	0
1922-10-23;	0
1922-10-24;	0
1922-10-25;	0
1922-10-26;	0
1922-10-27;	2.7
1922-10-28;	0
1922-10-29;	0
1922-10-30;	0
1922-10-31;	0
1922-11-01;	0
1922-11-02;	0
1922-11-03;	0
1922-11-04;	0
1922-11-05;	0
1922-11-06;	0
1922-11-07;	0
1922-11-08;	0
1922-11-09;	0
1922-11-10;	0
1922-11-11;	0
1922-11-12;	0
1922-11-13;	0
1922-11-14;	0
1922-11-15;	0
1922-11-16;	0
1922-11-17;	0
1922-11-18;	0
1922-11-19;	0
1922-11-20;	0
1922-11-21;	0
1922-11-22;	0
1922-11-23;	0
1922-11-24;	0
1922-11-25;	0
1922-11-26;	0
1922-11-27;	0
1922-11-28;	0
1922-11-29;	0
1922-11-30;	0
1922-12-01;	0
1922-12-02;	0
1922-12-03;	0
1922-12-04;	0
1922-12-05;	0
1922-12-06;	0
1922-12-07;	0
1922-12-08;	0
1922-12-09;	0
1922-12-10;	0
1922-12-11;	0
1922-12-12;	0
1922-12-13;	0
1922-12-14;	0
1922-12-15;	0
1922-12-16;	0
1922-12-17;	0
1922-12-18;	0
1922-12-19;	0
1922-12-20;	0
1922-12-21;	0
1922-12-22;	0
1922-12-23;	0
1922-12-24;	0
1922-12-25;	0
1922-12-26;	0
1922-12-27;	0
1922-12-28;	0
1922-12-29;	0
1922-12-30;	3.7
1922-12-31;	0
1923-01-01;	0
1923-01-02;	0
1923-01-03;	0
1923-01-04;	0
1923-01-05;	0
1923-01-06;	0
1923-01-07;	0
1923-01-08;	0
1923-01-09;	0
1923-01-10;	0
1923-01-11;	0
1923-01-12;	0
1923-01-13;	0
1923-01-14;	0
1923-01-15;	0
1923-01-16;	0
1923-01-17;	2
1923-01-18;	0
1923-01-19;	0
1923-01-20;	0
1923-01-21;	0
1923-01-22;	0
1923-01-23;	0
1923-01-24;	0
1923-01-25;	0
1923-01-26;	0
1923-01-27;	0
1923-01-28;	0
1923-01-29;	0
1923-01-30;	0
1923-01-31;	0
1923-02-01;	0
1923-02-02;	0
1923-02-03;	0
1923-02-04;	0
1923-02-05;	0
1923-02-06;	0
1923-02-07;	0
1923-02-08;	0
1923-02-09;	0
1923-02-10;	0
1923-02-11;	0
1923-02-12;	0
1923-02-13;	0
1923-02-14;	0
1923-02-15;	0
1923-02-16;	0
1923-02-17;	0
1923-02-18;	15.3
1923-02-19;	0
1923-02-20;	0
1923-02-21;	0
1923-02-22;	0
1923-02-23;	0
1923-02-24;	0
1923-02-25;	0
1923-02-26;	0
1923-02-27;	0
1923-02-28;	0
1923-03-01;	0
1923-03-02;	0
1923-03-03;	0
1923-03-04;	0
1923-03-05;	0
1923-03-06;	0
1923-03-07;	0
1923-03-08;	0
1923-03-09;	0
1923-03-10;	0
1923-03-11;	0
1923-03-12;	0
1923-03-13;	0
1923-03-14;	0
1923-03-15;	0
1923-03-16;	0
1923-03-17;	0
1923-03-18;	0
1923-03-19;	11.5
1923-03-20;	15.3
1923-03-21;	0
1923-03-22;	0
1923-03-23;	0
1923-03-24;	0
1923-03-25;	0
1923-03-26;	0
1923-03-27;	0
1923-03-28;	0
1923-03-29;	6.45
1923-03-30;	0
1923-03-31;	0
1923-04-01;	0
1923-04-02;	6.5
1923-04-03;	0
1923-04-04;	0
1923-04-05;	6
1923-04-06;	14
1923-04-07;	0
1923-04-08;	0
1923-04-09;	0
1923-04-10;	0
1923-04-11;	0
1923-04-12;	14.7
1923-04-13;	3
1923-04-14;	1.4
1923-04-15;	0
1923-04-16;	0
1923-04-17;	0
1923-04-18;	0
1923-04-19;	19.1
1923-04-20;	0
1923-04-21;	0
1923-04-22;	0
1923-04-23;	0
1923-04-24;	0
1923-04-25;	0
1923-04-26;	0
1923-04-27;	0
1923-04-28;	28
1923-04-29;	0
1923-04-30;	0
1923-05-01;	0
1923-05-02;	4.6
1923-05-03;	0
1923-05-04;	3.7
1923-05-05;	0
1923-05-06;	5.5
1923-05-07;	40.05
1923-05-08;	11.75
1923-05-09;	28.05
1923-05-10;	0
1923-05-11;	4.7
1923-05-12;	0
1923-05-13;	3.9
1923-05-14;	0
1923-05-15;	12
1923-05-16;	0
1923-05-17;	0
1923-05-18;	0
1923-05-19;	0
1923-05-20;	40.95
1923-05-21;	23.85
1923-05-22;	0
1923-05-23;	0
1923-05-24;	0
1923-05-25;	0
1923-05-26;	0
1923-05-27;	0
1923-05-28;	0
1923-05-29;	0
1923-05-30;	0
1923-05-31;	0
1923-06-01;	0
1923-06-02;	15.35
1923-06-03;	4.7
1923-06-04;	0
1923-06-05;	4.55
1923-06-06;	0
1923-06-07;	0
1923-06-08;	0
1923-06-09;	43.6
1923-06-10;	0
1923-06-11;	0
1923-06-12;	0
1923-06-13;	0
1923-06-14;	0
1923-06-15;	0
1923-06-16;	7.45
1923-06-17;	21.6
1923-06-18;	0
1923-06-19;	19.7
1923-06-20;	24.2
1923-06-21;	0
1923-06-22;	2
1923-06-23;	0
1923-06-24;	12.75
1923-06-25;	47
