## ================================================================================================================		
## Date de Création du fichier     : 2022-11-28		
## Auteur                          : Observatoire météorologique du petit-Séminaire Collège St Martial		
## Créateur du fichier	           : Ralph Bathelemy (bathelemy@geoazur.unice.fr)	
## Entité                          : URGEO - GEOAZUR - INRAE		
## ================================================================================================================		
## Nom station                     : MIREBALAIS		
## ----------------------------------------------------------------------------------------------------------------		
## Longitude                       : -72.117         	 (Moron et al., 2015 [°W])	
## Latitude                        : 18.833          	 (Moron et al., 2015 [°N])	
## Données manquantes              :   2             	 [%]	
## Pluies disponibles              : 1920-01-01      	 1940-12-31	
## ================================================================================================================		
## Champs----------------------------------------------------------------------------------------------------------		
## Date                            : date [AAAA-MM-JJ]		
## P                               : Pluie [mm/j]		
## ================================================================================================================		
## Moron, V., Frelat, R., Jean-Jeune, P.K., Gaucherel, C., 2015. Interannual and intra-annual variability of		
## rainfall in Haiti (1905–2005). Clim. Dyn. 45, 915–932. https://doi.org/10.1007/s00382-014-2326-y		
## ================================================================================================================		
		
Date		P
17/05/1920		0
18/05/1920		0
19/05/1920		0
20/05/1920		0
21/05/1920		0
22/05/1920		2.3
23/05/1920		5.2
24/05/1920		7
25/05/1920		2.4
26/05/1920		4.2
27/05/1920		0
28/05/1920		0
29/05/1920		6.4
30/05/1920		8.2
31/05/1920		4.3
01/06/1920		7.5
02/06/1920		0
03/06/1920		0
04/06/1920		0
05/06/1920		0
06/06/1920		0
07/06/1920		0
08/06/1920		2
09/06/1920		2.3
10/06/1920		3.2
11/06/1920		0
12/06/1920		2.2
13/06/1920		0
14/06/1920		0
15/06/1920		3.2
16/06/1920		0
17/06/1920		0
18/06/1920		4.2
19/06/1920		0
20/06/1920		0
21/06/1920		0
22/06/1920		0
23/06/1920		0
24/06/1920		3.2
25/06/1920		2
26/06/1920		0
27/06/1920		3.4
28/06/1920		4.5
29/06/1920		4.3
30/06/1920		0
01/07/1920		0
02/07/1920		0
03/07/1920		0
04/07/1920		6.3
05/07/1920		2.1
06/07/1920		6.4
07/07/1920		3.2
08/07/1920		0
09/07/1920		2.3
10/07/1920		4.4
11/07/1920		0
12/07/1920		0
13/07/1920		0
14/07/1920		0
15/07/1920		3.5
16/07/1920		5.3
17/07/1920		4.2
18/07/1920		6.3
19/07/1920		0
20/07/1920		3.2
21/07/1920		2
22/07/1920		5.3
23/07/1920		0
24/07/1920		0
25/07/1920		0
26/07/1920		0
27/07/1920		0
28/07/1920		6.2
29/07/1920		0
30/07/1920		2.3
31/07/1920		0
01/08/1920		7.3
02/08/1920		3.4
03/08/1920		0
04/08/1920		2.2
05/08/1920		0
06/08/1920		3.2
07/08/1920		2.4
08/08/1920		4.2
09/08/1920		0
10/08/1920		0
11/08/1920		0
12/08/1920		3.2
13/08/1920		2.3
14/08/1920		4.2
15/08/1920		0
16/08/1920		0
17/08/1920		6.3
18/08/1920		6.5
19/08/1920		4
20/08/1920		0
21/08/1920		0
22/08/1920		0
23/08/1920		0
24/08/1920		5.2
25/08/1920		4.3
26/08/1920		6.2
27/08/1920		3.2
28/08/1920		5.3
29/08/1920		2.2
30/08/1920		2.1
31/08/1920		0
01/09/1920		0
02/09/1920		3.3
03/09/1920		4.2
04/09/1920		8.3
05/09/1920		6.2
06/09/1920		4.3
07/09/1920		0
08/09/1920		5.3
09/09/1920		2.4
10/09/1920		2.2
11/09/1920		5.3
12/09/1920		5.2
13/09/1920		0
14/09/1920		4.3
15/09/1920		2.2
16/09/1920		0
17/09/1920		0
18/09/1920		0
19/09/1920		4.3
20/09/1920		5.2
21/09/1920		5.4
22/09/1920		4.2
23/09/1920		8
24/09/1920		0
25/09/1920		0
26/09/1920		2.1
27/09/1920		4.3
28/09/1920		5.2
29/09/1920		11.3
30/09/1920		0
01/10/1920		6.2
02/10/1920		6
03/10/1920		6.4
04/10/1920		0
05/10/1920		0
06/10/1920		0
07/10/1920		2.3
08/10/1920		5.2
09/10/1920		2.2
10/10/1920		0
11/10/1920		0
12/10/1920		4.3
13/10/1920		3.2
14/10/1920		3.2
15/10/1920		5.4
16/10/1920		0
17/10/1920		0
18/10/1920		6.2
19/10/1920		0
20/10/1920		0
21/10/1920		0
22/10/1920		0
23/10/1920		4.3
24/10/1920		2
25/10/1920		3.2
26/10/1920		0
27/10/1920		3
28/10/1920		0
29/10/1920		4.3
30/10/1920		0
31/10/1920		0
01/11/1920		2.3
02/11/1920		2
03/11/1920		0
04/11/1920		5.3
05/11/1920		2.3
06/11/1920		7.2
07/11/1920		6.5
08/11/1920		6.2
09/11/1920		3.3
10/11/1920		4.2
11/11/1920		0
12/11/1920		3.4
13/11/1920		4.2
14/11/1920		0
15/11/1920		0
16/11/1920		0
17/11/1920		2
18/11/1920		0
19/11/1920		0
20/11/1920		4.3
21/11/1920		0.5
22/11/1920		5.2
23/11/1920		2.3
24/11/1920		3.4
25/11/1920		6.2
26/11/1920		0
27/11/1920		0
28/11/1920		0
29/11/1920		0
30/11/1920		0
01/12/1920		0
02/12/1920		0
03/12/1920		0
04/12/1920		0
05/12/1920		0
06/12/1920		0
07/12/1920		0
08/12/1920		0
09/12/1920		0
10/12/1920		0
11/12/1920		0
12/12/1920		0
13/12/1920		0
14/12/1920		0
15/12/1920		0
16/12/1920		0
17/12/1920		0
18/12/1920		0
19/12/1920		0
20/12/1920		0
21/12/1920		0
22/12/1920		0
23/12/1920		0
24/12/1920		0
25/12/1920		5.2
26/12/1920		0
27/12/1920		0
28/12/1920		0
29/12/1920		0
30/12/1920		0
31/12/1920		0
01/01/1921		0
02/01/1921		0
03/01/1921		0
04/01/1921		3.1
05/01/1921		0
06/01/1921		0
07/01/1921		0
08/01/1921		0
09/01/1921		0
10/01/1921		3.2
11/01/1921		0
12/01/1921		0
13/01/1921		0
14/01/1921		0
15/01/1921		0
16/01/1921		0
17/01/1921		0
18/01/1921		0
19/01/1921		0
20/01/1921		0
21/01/1921		0
22/01/1921		0
23/01/1921		0
24/01/1921		0
25/01/1921		0
26/01/1921		0
27/01/1921		0
28/01/1921		0
29/01/1921		0
30/01/1921		0
31/01/1921		0
01/02/1921		0
02/02/1921		0
03/02/1921		0
04/02/1921		0
05/02/1921		0
06/02/1921		0
07/02/1921		0
08/02/1921		0
09/02/1921		0
10/02/1921		0
11/02/1921		0
12/02/1921		0
13/02/1921		0
14/02/1921		0
15/02/1921		0
16/02/1921		4.2
17/02/1921		0
18/02/1921		3
19/02/1921		0
20/02/1921		0
21/02/1921		5.2
22/02/1921		0
23/02/1921		0
24/02/1921		0
25/02/1921		5.4
26/02/1921		6.2
27/02/1921		0
28/02/1921		6.3
01/03/1921		5.2
02/03/1921		0
03/03/1921		0
04/03/1921		4.5
05/03/1921		3.2
06/03/1921		3
07/03/1921		0
08/03/1921		0
09/03/1921		7.4
10/03/1921		3.2
11/03/1921		2.3
12/03/1921		2.2
13/03/1921		6.4
14/03/1921		5.6
15/03/1921		7.5
16/03/1921		3.2
17/03/1921		0
18/03/1921		0
19/03/1921		0
20/03/1921		2.3
21/03/1921		0
22/03/1921		0
23/03/1921		0
24/03/1921		1.3
25/03/1921		0
26/03/1921		0
27/03/1921		0
28/03/1921		0
29/03/1921		0
30/03/1921		0
31/03/1921		0
01/04/1921		5.2
02/04/1921		0
03/04/1921		0
04/04/1921		0
05/04/1921		0
06/04/1921		0
07/04/1921		0
08/04/1921		0
09/04/1921		4.3
10/04/1921		5.4
11/04/1921		0
12/04/1921		4.2
13/04/1921		0
14/04/1921		0
15/04/1921		3.2
16/04/1921		2.3
17/04/1921		1.4
18/04/1921		0
19/04/1921		0
20/04/1921		0
21/04/1921		0
22/04/1921		0
23/04/1921		2.3
24/04/1921		0
25/04/1921		0
26/04/1921		0
27/04/1921		0
28/04/1921		0
29/04/1921		0
30/04/1921		0
01/05/1921		0
02/05/1921		2.3
03/05/1921		0
04/05/1921		0
05/05/1921		4.2
06/05/1921		3.2
07/05/1921		0
08/05/1921		2.3
09/05/1921		0
10/05/1921		0
11/05/1921		2.2
12/05/1921		4.2
13/05/1921		3.2
14/05/1921		0
15/05/1921		0
16/05/1921		4.2
17/05/1921		3.1
18/05/1921		0
19/05/1921		11.6
20/05/1921		7.3
21/05/1921		6.2
22/05/1921		5.3
23/05/1921		4.2
24/05/1921		3
25/05/1921		2.3
26/05/1921		3.4
27/05/1921		5.2
28/05/1921		4.3
29/05/1921		3.2
30/05/1921		0
31/05/1921		2.2
01/06/1921		1.3
02/06/1921		2.4
03/06/1921		2.2
04/06/1921		0
05/06/1921		4.3
06/06/1921		11.6
07/06/1921		3.2
08/06/1921		5.3
09/06/1921		2.3
10/06/1921		4.3
11/06/1921		5.1
12/06/1921		2.2
13/06/1921		0
14/06/1921		4.3
15/06/1921		7.4
16/06/1921		0
17/06/1921		3
18/06/1921		5.3
19/06/1921		0
20/06/1921		0
21/06/1921		0
22/06/1921		0
23/06/1921		4.2
24/06/1921		0
25/06/1921		0
26/06/1921		3.2
27/06/1921		0
28/06/1921		0
29/06/1921		0
30/06/1921		2.2
01/07/1921		6.3
02/07/1921		0
03/07/1921		4.2
04/07/1921		0
05/07/1921		3.3
06/07/1921		0
07/07/1921		4.2
08/07/1921		3.4
09/07/1921		2.3
10/07/1921		2.2
11/07/1921		2.3
12/07/1921		2.2
13/07/1921		4.3
14/07/1921		0
15/07/1921		0
16/07/1921		0
17/07/1921		0
18/07/1921		0
19/07/1921		0
20/07/1921		0
21/07/1921		0
22/07/1921		2.3
23/07/1921		4.2
24/07/1921		3.2
25/07/1921		5.3
26/07/1921		6.2
27/07/1921		0
28/07/1921		2.3
29/07/1921		5.2
30/07/1921		0
31/07/1921		0
01/08/1921		3.2
02/08/1921		3.4
03/08/1921		0
04/08/1921		5.2
05/08/1921		4.2
06/08/1921		3.3
07/08/1921		8.2
08/08/1921		2.2
09/08/1921		3.2
10/08/1921		0
11/08/1921		5.3
12/08/1921		0
13/08/1921		7.2
14/08/1921		4.2
15/08/1921		3.3
16/08/1921		4.2
17/08/1921		0
18/08/1921		5.3
19/08/1921		6.4
20/08/1921		4.3
21/08/1921		2.2
22/08/1921		5.3
23/08/1921		6.2
24/08/1921		3.3
25/08/1921		2.3
26/08/1921		2.2
27/08/1921		3.2
28/08/1921		4.5
29/08/1921		3.4
30/08/1921		2.3
31/08/1921		0
01/09/1921		3.4
02/09/1921		2.3
03/09/1921		1.4
04/09/1921		5.2
05/09/1921		6.2
06/09/1921		3.3
07/09/1921		0
08/09/1921		0
09/09/1921		0
10/09/1921		0
11/09/1921		4.2
12/09/1921		0
13/09/1921		5.3
14/09/1921		3.4
15/09/1921		3.2
16/09/1921		0
17/09/1921		3.5
18/09/1921		2.3
19/09/1921		3.4
20/09/1921		0
21/09/1921		0
22/09/1921		0
23/09/1921		4.2
24/09/1921		2.2
25/09/1921		1.4
26/09/1921		0
27/09/1921		2.3
28/09/1921		0
29/09/1921		7.2
30/09/1921		0
01/10/1921		2.2
02/10/1921		3.2
03/10/1921		2.3
04/10/1921		0
05/10/1921		3.4
06/10/1921		0
07/10/1921		1.2
08/10/1921		0
09/10/1921		8.2
10/10/1921		3.2
11/10/1921		9.5
12/10/1921		4.3
13/10/1921		4.5
14/10/1921		4.3
15/10/1921		3.2
16/10/1921		2.3
17/10/1921		2
18/10/1921		1.2
19/10/1921		0
20/10/1921		0
21/10/1921		0
22/10/1921		2.3
23/10/1921		0
24/10/1921		0
25/10/1921		0
26/10/1921		0
27/10/1921		0
28/10/1921		0
29/10/1921		0
30/10/1921		0
31/10/1921		0
01/11/1921		0
02/11/1921		2.5
03/11/1921		0
04/11/1921		0
05/11/1921		0
06/11/1921		0
07/11/1921		0
08/11/1921		0
09/11/1921		1.2
10/11/1921		0
11/11/1921		0
12/11/1921		0
13/11/1921		0
14/11/1921		0
15/11/1921		0
16/11/1921		0
17/11/1921		0
18/11/1921		0
19/11/1921		0
20/11/1921		0
21/11/1921		3.2
22/11/1921		3.4
23/11/1921		0
24/11/1921		0
25/11/1921		2.2
26/11/1921		0
27/11/1921		0
28/11/1921		0
29/11/1921		0
30/11/1921		0
01/12/1921		0
02/12/1921		0
03/12/1921		0
04/12/1921		0
05/12/1921		0
06/12/1921		0
07/12/1921		0
08/12/1921		0
09/12/1921		0
10/12/1921		0
11/12/1921		0
12/12/1921		0
13/12/1921		0
14/12/1921		0
15/12/1921		0
16/12/1921		0
17/12/1921		0
18/12/1921		0
19/12/1921		0
20/12/1921		0
21/12/1921		0
22/12/1921		0
23/12/1921		0
24/12/1921		0
25/12/1921		0
26/12/1921		0
27/12/1921		0
28/12/1921		0
29/12/1921		0
30/12/1921		0
31/12/1921		0
01/01/1922		0
02/01/1922		0
03/01/1922		0
04/01/1922		0
05/01/1922		0
06/01/1922		0
07/01/1922		0
08/01/1922		0
09/01/1922		0
10/01/1922		0
11/01/1922		0
12/01/1922		0
13/01/1922		0
14/01/1922		0
15/01/1922		0
16/01/1922		0
17/01/1922		0
18/01/1922		2.2
19/01/1922		0
20/01/1922		2
21/01/1922		0
22/01/1922		0
23/01/1922		0
24/01/1922		0
25/01/1922		0
26/01/1922		0
27/01/1922		0
28/01/1922		0
29/01/1922		0
30/01/1922		0
31/01/1922		0
01/02/1922		0
02/02/1922		0
03/02/1922		0
04/02/1922		0
05/02/1922		0
06/02/1922		0
07/02/1922		0
08/02/1922		0
09/02/1922		0
10/02/1922		0
11/02/1922		0
12/02/1922		0
13/02/1922		0
14/02/1922		0
15/02/1922		1.3
16/02/1922		0
17/02/1922		0
18/02/1922		0
19/02/1922		3.1
20/02/1922		2
21/02/1922		0
22/02/1922		4.2
23/02/1922		0
24/02/1922		0
25/02/1922		4.3
26/02/1922		7.3
27/02/1922		3.4
28/02/1922		4.3
01/03/1922		0
02/03/1922		3.2
03/03/1922		3.3
04/03/1922		0
05/03/1922		0
06/03/1922		0
07/03/1922		0
08/03/1922		0
09/03/1922		0
10/03/1922		0
11/03/1922		0
12/03/1922		0
13/03/1922		0
14/03/1922		0
15/03/1922		2.1
16/03/1922		0
17/03/1922		0
18/03/1922		1.2
19/03/1922		0
20/03/1922		0
21/03/1922		0
22/03/1922		0
23/03/1922		0
24/03/1922		0
25/03/1922		0
26/03/1922		3.2
27/03/1922		4.2
28/03/1922		5.2
29/03/1922		0
30/03/1922		0
31/03/1922		0
01/04/1922		0
02/04/1922		2.1
03/04/1922		0
04/04/1922		0
05/04/1922		0
06/04/1922		0
07/04/1922		5.2
08/04/1922		0
09/04/1922		1.2
10/04/1922		0
11/04/1922		0
12/04/1922		4.2
13/04/1922		0
14/04/1922		3.4
15/04/1922		0
16/04/1922		2.2
17/04/1922		0
18/04/1922		0
19/04/1922		2
20/04/1922		0
21/04/1922		0
22/04/1922		0
23/04/1922		0
24/04/1922		0
25/04/1922		0
26/04/1922		0
27/04/1922		0
28/04/1922		0
29/04/1922		3.2
30/04/1922		0
01/05/1922		4.3
02/05/1922		0
03/05/1922		7.4
04/05/1922		2.2
05/05/1922		1.3
06/05/1922		0
07/05/1922		0
08/05/1922		0
09/05/1922		5.2
10/05/1922		4.5
11/05/1922		0
12/05/1922		0
13/05/1922		0
14/05/1922		0
15/05/1922		0
16/05/1922		16.8
17/05/1922		0
18/05/1922		0
19/05/1922		0
20/05/1922		0
21/05/1922		0
22/05/1922		0
23/05/1922		0
24/05/1922		5.2
25/05/1922		6.2
26/05/1922		0
27/05/1922		0
28/05/1922		0
29/05/1922		6.4
30/05/1922		0
31/05/1922		4.3
01/06/1922		0
02/06/1922		5.2
03/06/1922		0
04/06/1922		6.4
05/06/1922		6.3
06/06/1922		4.2
07/06/1922		2.3
08/06/1922		6.3
09/06/1922		7.2
10/06/1922		6.3
11/06/1922		4.2
12/06/1922		2.4
13/06/1922		2.1
14/06/1922		1.2
15/06/1922		1.1
16/06/1922		2.3
17/06/1922		4.3
18/06/1922		3.2
19/06/1922		3.4
20/06/1922		0
21/06/1922		0
22/06/1922		2
23/06/1922		3.2
24/06/1922		4.3
25/06/1922		3.2
26/06/1922		0
27/06/1922		1.2
28/06/1922		0
29/06/1922		0
30/06/1922		0
01/07/1922		0
02/07/1922		0
03/07/1922		2.4
04/07/1922		0
05/07/1922		0
06/07/1922		0
07/07/1922		0
08/07/1922		0
09/07/1922		3.2
10/07/1922		0
11/07/1922		0
12/07/1922		2.2
13/07/1922		3.2
14/07/1922		0
15/07/1922		0
16/07/1922		4.2
17/07/1922		5.3
18/07/1922		0
19/07/1922		0
20/07/1922		0
21/07/1922		2.2
22/07/1922		0
23/07/1922		2.3
24/07/1922		5.2
25/07/1922		0
26/07/1922		2
27/07/1922		6.4
28/07/1922		7.5
29/07/1922		5.4
30/07/1922		3.2
31/07/1922		6.5
01/08/1922		5.2
02/08/1922		0
03/08/1922		4.3
04/08/1922		2.2
05/08/1922		1.2
06/08/1922		5.3
07/08/1922		0
08/08/1922		0
09/08/1922		0
10/08/1922		0
11/08/1922		0
12/08/1922		6.2
13/08/1922		5.3
14/08/1922		4.3
15/08/1922		5.4
16/08/1922		5.3
17/08/1922		0
18/08/1922		0
19/08/1922		2.3
20/08/1922		2.2
21/08/1922		5.2
22/08/1922		0
23/08/1922		1.2
24/08/1922		6.5
25/08/1922		0
26/08/1922		4.8
27/08/1922		3.4
28/08/1922		5.2
29/08/1922		2
30/08/1922		0
31/08/1922		0
01/09/1922		4.4
02/09/1922		5.2
03/09/1922		6.2
04/09/1922		0
05/09/1922		5.4
06/09/1922		0
07/09/1922		5.3
08/09/1922		6.2
09/09/1922		2.2
10/09/1922		2.3
11/09/1922		0
12/09/1922		6.4
13/09/1922		5.1
14/09/1922		4.2
15/09/1922		0
16/09/1922		0
17/09/1922		3.2
18/09/1922		0
19/09/1922		0
20/09/1922		4.3
21/09/1922		3.2
22/09/1922		4.2
23/09/1922		2.4
24/09/1922		0
25/09/1922		3.2
26/09/1922		5.3
27/09/1922		3.2
28/09/1922		2.1
29/09/1922		0
30/09/1922		2.2
01/10/1922		0
02/10/1922		2
03/10/1922		2.3
04/10/1922		5.3
05/10/1922		4.2
06/10/1922		5.2
07/10/1922		1.3
08/10/1922		4.2
09/10/1922		3.1
10/10/1922		2.2
11/10/1922		6.3
12/10/1922		5.4
13/10/1922		0
14/10/1922		0
15/10/1922		4.2
16/10/1922		2.2
17/10/1922		4.3
18/10/1922		5.2
19/10/1922		6.2
20/10/1922		0
21/10/1922		0
22/10/1922		0
23/10/1922		0
24/10/1922		0
25/10/1922		2.2
26/10/1922		0
27/10/1922		0
28/10/1922		0
29/10/1922		2.1
30/10/1922		0
31/10/1922		0
01/11/1922		0
02/11/1922		0
03/11/1922		0
04/11/1922		0
05/11/1922		0
06/11/1922		0
07/11/1922		0
08/11/1922		0
09/11/1922		0
10/11/1922		0
11/11/1922		0
12/11/1922		7.2
13/11/1922		3.4
14/11/1922		1.3
15/11/1922		0
16/11/1922		0
17/11/1922		0
18/11/1922		0
19/11/1922		0
20/11/1922		0
21/11/1922		0
22/11/1922		0
23/11/1922		0
24/11/1922		0
25/11/1922		0
26/11/1922		0
27/11/1922		2.2
28/11/1922		2
29/11/1922		0
30/11/1922		0
01/12/1922		0
02/12/1922		0
03/12/1922		0
04/12/1922		0
05/12/1922		0
06/12/1922		0
07/12/1922		0
08/12/1922		0
09/12/1922		0
10/12/1922		0
11/12/1922		0
12/12/1922		0
13/12/1922		0
14/12/1922		3.2
15/12/1922		0
16/12/1922		0
17/12/1922		1
18/12/1922		0
19/12/1922		1.2
20/12/1922		0
21/12/1922		0
22/12/1922		0
23/12/1922		0
24/12/1922		0
25/12/1922		0
26/12/1922		0
27/12/1922		0
28/12/1922		0
29/12/1922		0
30/12/1922		2.1
31/12/1922		3.2
01/01/1923		0
02/01/1923		0
03/01/1923		0
04/01/1923		0
05/01/1923		0
06/01/1923		0
07/01/1923		0
08/01/1923		0
09/01/1923		0
10/01/1923		0
11/01/1923		0
12/01/1923		2.1
13/01/1923		0
14/01/1923		0
15/01/1923		0
16/01/1923		0
17/01/1923		1.2
18/01/1923		2.2
19/01/1923		4.1
20/01/1923		3.2
21/01/1923		1.2
22/01/1923		0
23/01/1923		0
24/01/1923		0
25/01/1923		0
26/01/1923		0
27/01/1923		0
28/01/1923		0
29/01/1923		0
30/01/1923		0
31/01/1923		0
01/02/1923		0
02/02/1923		0
03/02/1923		0
04/02/1923		2.1
05/02/1923		0
06/02/1923		0
07/02/1923		0
08/02/1923		0
09/02/1923		0
10/02/1923		0
11/02/1923		0
12/02/1923		0
13/02/1923		0
14/02/1923		0
15/02/1923		2.2
16/02/1923		3.2
17/02/1923		0
18/02/1923		0
19/02/1923		2.2
20/02/1923		3.2
21/02/1923		0
22/02/1923		0
23/02/1923		2.1
24/02/1923		3
25/02/1923		4.2
26/02/1923		1.2
27/02/1923		1
28/02/1923		2.1
01/03/1923		3.2
02/03/1923		0
03/03/1923		0
04/03/1923		0
05/03/1923		0
06/03/1923		0
07/03/1923		0
08/03/1923		0
09/03/1923		0
10/03/1923		0
11/03/1923		2.2
12/03/1923		0
13/03/1923		0
14/03/1923		0
15/03/1923		2.1
16/03/1923		0
17/03/1923		0
18/03/1923		3.2
19/03/1923		0
20/03/1923		0
21/03/1923		0
22/03/1923		0
23/03/1923		0
24/03/1923		0
25/03/1923		0
26/03/1923		0
27/03/1923		0
28/03/1923		0
29/03/1923		0
30/03/1923		3.2
31/03/1923		2.1
01/04/1923		1
02/04/1923		2.1
03/04/1923		3.2
04/04/1923		1.1
05/04/1923		1.2
06/04/1923		3.3
07/04/1923		2.1
08/04/1923		0
09/04/1923		1.2
10/04/1923		3.2
11/04/1923		4.2
12/04/1923		3.2
13/04/1923		3.1
14/04/1923		0
15/04/1923		4.1
16/04/1923		0
17/04/1923		3.2
18/04/1923		0
19/04/1923		5
20/04/1923		3.2
21/04/1923		4.2
22/04/1923		4.3
23/04/1923		0
24/04/1923		0
25/04/1923		0
26/04/1923		0
27/04/1923		3.2
28/04/1923		4.2
29/04/1923		2.1
30/04/1923		5.2
01/05/1923		4.2
02/05/1923		4.1
03/05/1923		1.1
04/05/1923		3.2
05/05/1923		0
06/05/1923		0
07/05/1923		6.2
08/05/1923		5.4
09/05/1923		5.2
10/05/1923		4.3
11/05/1923		3.3
12/05/1923		2.3
13/05/1923		2
14/05/1923		0
15/05/1923		3.2
16/05/1923		0
17/05/1923		2.2
18/05/1923		0
19/05/1923		0
20/05/1923		6.2
21/05/1923		0
22/05/1923		8.3
23/05/1923		0
24/05/1923		0
25/05/1923		0
26/05/1923		0
27/05/1923		0
28/05/1923		0
29/05/1923		0
30/05/1923		0
31/05/1923		0
01/06/1923		0
02/06/1923		0
03/06/1923		0
04/06/1923		0
05/06/1923		0
06/06/1923		0
07/06/1923		5
08/06/1923		3
09/06/1923		0
10/06/1923		0
11/06/1923		0
12/06/1923		0
13/06/1923		0
14/06/1923		0
15/06/1923		0
16/06/1923		0
17/06/1923		0
18/06/1923		0
19/06/1923		2
20/06/1923		2.4
21/06/1923		2.5
22/06/1923		0
23/06/1923		0
24/06/1923		0
25/06/1923		0
26/06/1923		0
27/06/1923		0
28/06/1923		0
29/06/1923		0
30/06/1923		2.2
01/07/1923		4.3
02/07/1923		5.2
03/07/1923		5.3
04/07/1923		5.5
05/07/1923		4.2
06/07/1923		0
07/07/1923		4.3
08/07/1923		2.4
09/07/1923		0
10/07/1923		0
11/07/1923		0
12/07/1923		0
13/07/1923		2
14/07/1923		4.2
15/07/1923		0
16/07/1923		4.1
17/07/1923		0
18/07/1923		0
19/07/1923		0
20/07/1923		0
21/07/1923		3.2
22/07/1923		0
23/07/1923		0
24/07/1923		0
25/07/1923		0
26/07/1923		4
27/07/1923		2.2
28/07/1923		3.2
29/07/1923		0
30/07/1923		0
31/07/1923		0
01/08/1923		1.3
02/08/1923		0
03/08/1923		0
04/08/1923		0
05/08/1923		5.2
06/08/1923		4.3
07/08/1923		3.2
08/08/1923		2.2
09/08/1923		3.2
10/08/1923		5.2
11/08/1923		0
12/08/1923		0
13/08/1923		4.3
14/08/1923		6.2
15/08/1923		0
16/08/1923		0
17/08/1923		0
18/08/1923		4.2
19/08/1923		4.3
20/08/1923		5.2
21/08/1923		0
22/08/1923		0
23/08/1923		2.2
